580;20233101;20231231;850;P000809;ACTIVE
581;20233102;20231231;851;P000808;ACTIVE
582;20233103;20231231;852;P000807;ACTIVE
583;20233104;20231231;853;P000806;ACTIVE
584;20233105;20231231;854;P000805;ACTIVE
585;20233106;20231232;855;P000852;ACTIVE
586;20233107;20231233;856;P000853;ACTIVE
587;20233108;20231234;857;P000854;ACTIVE
588;20233109;20231235;858;P000855;ACTIVE
589;20233110;20231236;859;P000856;ACTIVE
590;20233111;20231237;860;P000857;ACTIVE
591;20233112;20231238;861;P000858;ACTIVE
592;20233113;20231239;862;P000859;ACTIVE
593;20233114;20231240;863;P000860;ACTIVE
594;20233115;20231241;864;P000861;ACTIVE
595;20233116;20231242;865;P000862;ACTIVE
596;20233117;20231243;866;P000863;ACTIVE
597;20233118;20231244;867;P000864;ACTIVE
598;20233119;20231245;868;P000865;ACTIVE
599;20233120;20231246;869;P000866;ACTIVE
600;20233121;20231247;870;P000867;ACTIVE
601;20233122;20231248;871;P000868;ACTIVE
602;20233123;20231249;872;P000869;ACTIVE
603;20233124;20231250;873;P000870;ACTIVE
604;20233125;20231251;874;P000871;ACTIVE
605;20233126;20231252;875;P000872;ACTIVE
606;20233127;20231253;876;P000873;ACTIVE
607;20233128;20231254;877;P000874;ACTIVE
608;20233129;20231255;878;P000875;ACTIVE
609;20233130;20231256;879;P000876;ACTIVE
610;20233131;20231257;880;P000877;ACTIVE
611;20233132;20231258;881;P000878;ACTIVE
612;20233133;20231259;882;P000879;ACTIVE
613;20233134;20231260;883;P000880;ACTIVE
614;20233135;20231261;884;P000881;ACTIVE
615;20233136;20231262;885;P000882;ACTIVE
616;20233137;20231263;886;P000883;ACTIVE
617;20233138;20231264;887;P000884;ACTIVE
618;20233139;20231265;888;P000885;ACTIVE
619;20233140;20231266;889;P000886;ACTIVE
620;20233141;20231267;890;P000887;ACTIVE
621;20233142;20231268;891;P000888;ACTIVE
622;20233143;20231269;892;P000889;ACTIVE
623;20233144;20231270;893;P000890;ACTIVE
